year,vtd_id,office,district,candidate,party,votes
2020,19001001018,U S SENATE,,THERESA GREENFIELD,DEM,23.294912
2020,19001001018,U S SENATE,,WRITE IN,,0.111962
2020,19001001019,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001019,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001019,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,56.880057
2020,19001001019,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.203506
2020,19001001019,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.610519
2020,19001001019,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,23.810257
2020,19001001019,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.203506
2020,19001001019,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001019,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001019,PRESIDENT,,WRITE IN,,0.305260
2020,19001001019,U S SENATE,,JONI ERNST,REP,54.641486
2020,19001001019,U S SENATE,,RICK STEWART,LIB,1.322792
2020,19001001019,U S SENATE,,SUZANNE HERZOG,,1.322792
2020,19001001019,U S SENATE,,THERESA GREENFIELD,DEM,23.912010
2020,19001001019,U S SENATE,,WRITE IN,,0.101753
2020,19001001020,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001020,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001020,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,197.707233
2020,19001001020,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.707360
2020,19001001020,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,2.122081
2020,19001001020,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,82.761167
2020,19001001020,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.707360
2020,19001001020,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001020,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001020,PRESIDENT,,WRITE IN,,1.061041
2020,19001001020,U S SENATE,,JONI ERNST,REP,189.926269
2020,19001001020,U S SENATE,,RICK STEWART,LIB,4.597843
2020,19001001020,U S SENATE,,SUZANNE HERZOG,,4.597843
2020,19001001020,U S SENATE,,THERESA GREENFIELD,DEM,83.114848
2020,19001001020,U S SENATE,,WRITE IN,,0.353680
2020,19001001021,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001021,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.135497
2020,19001001021,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,82.653296
2020,19001001021,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001021,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.270994
2020,19001001021,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,26.828447
2020,19001001021,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.270994
2020,19001001021,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001021,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.270994
2020,19001001021,PRESIDENT,,WRITE IN,,0.000000
2020,19001001021,U S SENATE,,JONI ERNST,REP,79.807855
2020,19001001021,U S SENATE,,RICK STEWART,LIB,2.709944
2020,19001001021,U S SENATE,,SUZANNE HERZOG,,0.406492
2020,19001001021,U S SENATE,,THERESA GREENFIELD,DEM,26.963944
2020,19001001021,U S SENATE,,WRITE IN,,0.000000
2020,19001001022,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001022,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.074707
2020,19001001022,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,45.571007
2020,19001001022,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001022,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.149413
2020,19001001022,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,14.791901
