year,county,office,district,candidate,party,votes
2022,BUENA VISTA,U S SENATE,,CHUCK GRASSLEY,REP,3530.000000
2022,BUENA VISTA,U S SENATE,,MICHAEL FRANKEN,DEM,1518.000000
2022,BUENA VISTA,U S SENATE,,WRITE IN,,5.000000
2022,BUTLER,ATTORNEY GENERAL,,BRENNA BIRD,REP,3918.000000
2022,BUTLER,ATTORNEY GENERAL,,TOM MILLER,DEM,2041.000000
2022,BUTLER,ATTORNEY GENERAL,,WRITE IN,,5.000000
2022,BUTLER,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1429.000000
2022,BUTLER,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,4501.000000
2022,BUTLER,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,133.000000
2022,BUTLER,GOVERNOR,,WRITE IN,,3.000000
2022,BUTLER,SECRETARY OF STATE,,JOEL MILLER,DEM,1400.000000
2022,BUTLER,SECRETARY OF STATE,,PAUL D PATE,REP,4577.000000
2022,BUTLER,SECRETARY OF STATE,,WRITE IN,,1.000000
2022,BUTLER,U S SENATE,,CHUCK GRASSLEY,REP,4334.000000
2022,BUTLER,U S SENATE,,MICHAEL FRANKEN,DEM,1669.000000
2022,BUTLER,U S SENATE,,WRITE IN,,6.000000
2022,CALHOUN,ATTORNEY GENERAL,,BRENNA BIRD,REP,2424.000000
2022,CALHOUN,ATTORNEY GENERAL,,TOM MILLER,DEM,1472.000000
2022,CALHOUN,ATTORNEY GENERAL,,WRITE IN,,4.000000
2022,CALHOUN,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,870.000000
2022,CALHOUN,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3021.000000
2022,CALHOUN,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,88.000000
2022,CALHOUN,GOVERNOR,,WRITE IN,,1.000000
2022,CALHOUN,SECRETARY OF STATE,,JOEL MILLER,DEM,974.000000
2022,CALHOUN,SECRETARY OF STATE,,PAUL D PATE,REP,2923.000000
2022,CALHOUN,SECRETARY OF STATE,,WRITE IN,,2.000000
2022,CALHOUN,U S SENATE,,CHUCK GRASSLEY,REP,2853.000000
2022,CALHOUN,U S SENATE,,MICHAEL FRANKEN,DEM,1027.000000
2022,CALHOUN,U S SENATE,,WRITE IN,,6.000000
2022,CARROLL,ATTORNEY GENERAL,,BRENNA BIRD,REP,4948.000000
2022,CARROLL,ATTORNEY GENERAL,,TOM MILLER,DEM,3030.000000
2022,CARROLL,ATTORNEY GENERAL,,WRITE IN,,7.000000
2022,CARROLL,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1854.000000
