year,vtd_id,office,district,candidate,party,votes
2000,19007007012,PRESIDENT,,,DEM,12.730033
2000,19007007012,PRESIDENT,,,GREEN,0.259797
2000,19007007012,PRESIDENT,,,REP,18.185761
2000,19007007012,PRESIDENT,,,SC,0.000000
2000,19007007013,PRESIDENT,,,DEM,81.437305
2000,19007007013,PRESIDENT,,,GREEN,1.732707
2000,19007007013,PRESIDENT,,,REP,84.903363
2000,19007007013,PRESIDENT,,,SC,1.732673
2000,19007007014,PRESIDENT,,,DEM,92.988903
2000,19007007014,PRESIDENT,,,GREEN,3.321032
2000,19007007014,PRESIDENT,,,REP,166.051613
2000,19007007014,PRESIDENT,,,SC,3.321032
2000,19007007015,PRESIDENT,,,DEM,25.346251
2000,19007007015,PRESIDENT,,,GREEN,0.905223
2000,19007007015,PRESIDENT,,,REP,45.261160
2000,19007007015,PRESIDENT,,,SC,0.905223
2000,19007007016,PRESIDENT,,,DEM,32.364068
2000,19007007016,PRESIDENT,,,GREEN,2.048276
2000,19007007016,PRESIDENT,,,REP,38.306115
2000,19007007016,PRESIDENT,,,SC,1.229008
2000,19007007017,PRESIDENT,,,DEM,28.738906
2000,19007007017,PRESIDENT,,,GREEN,1.818936
2000,19007007017,PRESIDENT,,,REP,34.013839
2000,19007007017,PRESIDENT,,,SC,1.091321
2000,19007007018,PRESIDENT,,,DEM,96.900620
2000,19007007018,PRESIDENT,,,GREEN,6.132951
2000,19007007018,PRESIDENT,,,REP,114.686178
2000,19007007018,PRESIDENT,,,SC,3.679770
2000,19007007019,PRESIDENT,,,DEM,69.999210
2000,19007007019,PRESIDENT,,,GREEN,5.999930
2000,19007007019,PRESIDENT,,,REP,88.998974
2000,19007007019,PRESIDENT,,,SC,0.000001
2000,19007007020,PRESIDENT,,,DEM,127.303530
2000,19007007020,PRESIDENT,,,GREEN,7.488445
2000,19007007020,PRESIDENT,,,REP,128.135599
2000,19007007020,PRESIDENT,,,SC,0.832049
2000,19007007021,PRESIDENT,,,DEM,25.695211
2000,19007007021,PRESIDENT,,,GREEN,1.511456
2000,19007007021,PRESIDENT,,,REP,25.863453
2000,19007007021,PRESIDENT,,,SC,0.167938
2000,19009009001,PRESIDENT,,,DEM,0.000000
2000,19009009001,PRESIDENT,,,GREEN,0.000000
2000,19009009001,PRESIDENT,,,REP,0.000000
2000,19009009001,PRESIDENT,,,SC,0.000000
2000,19009009002,PRESIDENT,,,DEM,0.000000
2000,19009009002,PRESIDENT,,,GREEN,0.000000
2000,19009009002,PRESIDENT,,,REP,0.000000
2000,19009009002,PRESIDENT,,,SC,0.000000
2000,19009009003,PRESIDENT,,,DEM,0.000000
2000,19009009003,PRESIDENT,,,GREEN,0.000000
2000,19009009003,PRESIDENT,,,REP,0.000000
2000,19009009003,PRESIDENT,,,SC,0.000000
2000,19009009004,PRESIDENT,,,DEM,0.000000
2000,19009009004,PRESIDENT,,,GREEN,0.000000
2000,19009009004,PRESIDENT,,,REP,0.000000
2000,19009009004,PRESIDENT,,,SC,0.000000
2000,19009009006,PRESIDENT,,,DEM,0.000000
2000,19009009006,PRESIDENT,,,GREEN,0.000000
2000,19009009006,PRESIDENT,,,REP,0.000000
2000,19009009006,PRESIDENT,,,SC,0.000000
2000,19009009008,PRESIDENT,,,DEM,0.000001
2000,19009009008,PRESIDENT,,,GREEN,0.000000
2000,19009009008,PRESIDENT,,,REP,0.000002
2000,19009009008,PRESIDENT,,,SC,0.000000
2000,19009009009,PRESIDENT,,,DEM,0.001564
2000,19009009009,PRESIDENT,,,GREEN,0.000104
2000,19009009009,PRESIDENT,,,REP,0.002786
2000,19009009009,PRESIDENT,,,SC,0.000010
2000,19009009013,PRESIDENT,,,DEM,0.000000
2000,19009009013,PRESIDENT,,,GREEN,0.000000
