source_vtd,target_plan2_district,share,chamber,chain
19013013057,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013058,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013059,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013060,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013060,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013061,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013061,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013062,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013062,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013062,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013063,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013064,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013065,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013066,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013067,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013068,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013069,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013069,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015001,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015002,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015003,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015004,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015004,28,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015005,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015005,26,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015006,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015007,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015008,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015009,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015010,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015011,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015012,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015013,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015014,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015015,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015016,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015016,25,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015017,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015018,23,0.000000000000,senate,vtd20_to_block20_to_plan2
19015015018,24,1.000000000000,senate,vtd20_to_block20_to_plan2
19015015019,23,0.000000000004,senate,vtd20_to_block20_to_plan2
19015015019,24,0.999999999996,senate,vtd20_to_block20_to_plan2
