year,plan2_district,office,district,candidate,party,votes
2012,9,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,18176.004119294776
2012,9,PRESIDENT VICE PRESIDENT,,OVER VOTES,,23.000000000000
2012,9,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,162.782830779371
2012,9,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,82.327072005273
2012,9,PRESIDENT VICE PRESIDENT,,WRITE IN,,144.139396935245
2012,10,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,13352.140070675907
2012,10,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,222.943491304301
2012,10,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,8.836174960231
2012,10,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,4.078234597030
2012,10,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,18.352055686635
2012,10,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,82.924103472941
2012,10,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,14858.368048512284
2012,10,PRESIDENT VICE PRESIDENT,,OVER VOTES,,30.586759477724
2012,10,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,86.322632303800
2012,10,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,60.493813189277
2012,10,PRESIDENT VICE PRESIDENT,,WRITE IN,,144.097622428390
2012,11,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,15057.377326868977
2012,11,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,237.746932423535
2012,11,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,9.338720296882
2012,11,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,10.337104207817
2012,11,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,25.004848267193
2012,11,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,59.016160890645
2012,11,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,16333.294307775184
2012,11,PRESIDENT VICE PRESIDENT,,OVER VOTES,,29.669360148441
2012,11,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,104.032321781289
