county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Plymouth,PLYMOUTH,25697,25744,25713,25723,25684,25697,0,0,13,0.0506151689767949
Pocahontas,POCAHONTAS,7070,7043,7076,6993,6922,6819,-251,-3.5502121640735504,-103,-1.4880092458826928
Polk,POLK,493013,497973,501174,506787,513511,516546,23533,4.773302123879086,3035,0.5910292087219163
Pottawattamie,POTTAWATTAMIE,93667,93423,93162,93351,93270,92996,-671,-0.7163675574108277,-274,-0.29377077302455235
Poweshiek,POWESHIEK,18638,18626,18543,18487,18423,18368,-270,-1.4486532889795043,-55,-0.2985398686424578
Ringgold,RINGGOLD,4641,4633,4679,4664,4649,4642,1,0.021547080370609782,-7,-0.1505700150570015
Sac,SAC,9791,9766,9675,9696,9614,9525,-266,-2.716780716984986,-89,-0.9257333055960059
Scott,SCOTT,174599,174265,173859,174185,174840,175259,660,0.37800903785245044,419,0.23964767787691604
Shelby,SHELBY,11718,11763,11717,11788,11778,11689,-29,-0.2474825055470217,-89,-0.7556461198845306
Sioux,SIOUX,35888,35971,36250,36494,36777,36774,886,2.468791796700847,-3,-0.008157272208173588
Story,STORY,98658,99675,99857,101021,101418,101291,2633,2.668815504064546,-127,-0.12522431915439072
Tama,TAMA,17050,16880,16929,16824,16804,16796,-254,-1.4897360703812317,-8,-0.047607712449416806
Taylor,TAYLOR,5862,5868,5864,5925,5843,5835,-27,-0.46059365404298874,-8,-0.13691596782474755
Union,UNION,12130,12049,11898,11883,11924,11829,-301,-2.4814509480626548,-95,-0.7967125125796712
Van Buren,VAN BUREN,7221,7259,7253,7250,7187,7131,-90,-1.2463647694225177,-56,-0.7791846389314039
Wapello,WAPELLO,35334,35308,35082,35379,35429,35210,-124,-0.35093677477783436,-219,-0.6181376838183409
Warren,WARREN,52597,53515,54357,55355,56496,57331,4734,9.000513337262582,835,1.4779807419994335
Washington,WASHINGTON,22536,22523,22539,22566,22602,22667,131,0.581292154774583,65,0.2875851694540306
Wayne,WAYNE,6507,6525,6473,6547,6634,6738,231,3.5500230520977407,104,1.567681640036177
Webster,WEBSTER,36997,37181,36693,36666,36799,36838,-159,-0.4297645755061221,39,0.10598114079186935
Winnebago,WINNEBAGO,10653,10651,10659,10539,10351,10251,-402,-3.7735849056603774,-100,-0.9660902328277462
Winneshiek,WINNESHIEK,20046,19943,19907,19703,19673,19733,-313,-1.5614087598523396,60,0.3049865297616022
Woodbury,WOODBURY,105949,105795,105712,106522,106742,106649,700,0.6606952401627197,-93,-0.08712596728560454
Worth,WORTH,7437,7385,7330,7330,7300,7338,-99,-1.3311819281968535,38,0.5205479452054794
Wright,WRIGHT,12919,12818,12750,12825,12848,12801,-118,-0.9133833888071832,-47,-0.3658156911581569
