year,plan2_district,office,district,candidate,party,votes
2016,17,U S SENATE,,CHARLES ALDRICH,LIB,215.120067
2016,17,U S SENATE,,CHARLES E GRASSLEY,REP,6704.494431
2016,17,U S SENATE,,JIM HENNAGER,OTH,88.024984
2016,17,U S SENATE,,MICHAEL LUICK THRAMS,OTH,24.901109
2016,17,U S SENATE,,PATTY JUDGE,DEM,2076.797976
2016,17,U S SENATE,,WRITE IN,OTH,6.869368
2016,18,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,7.002029
2016,18,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,18.142810
2016,18,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,3609.321556
2016,18,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,41.323073
2016,18,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,162.929739
2016,18,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000000
2016,18,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,1503.132800
2016,18,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,43.329163
2016,18,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,13.000000
2016,18,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.045574
2016,18,PRESIDENT,,WRITE IN,OTH,43.279530
2016,18,U S SENATE,,CHARLES ALDRICH,LIB,128.508504
2016,18,U S SENATE,,CHARLES E GRASSLEY,REP,3852.145609
2016,18,U S SENATE,,JIM HENNAGER,OTH,77.283588
2016,18,U S SENATE,,MICHAEL LUICK THRAMS,OTH,16.093177
2016,18,U S SENATE,,PATTY JUDGE,DEM,1206.516319
2016,18,U S SENATE,,WRITE IN,OTH,4.130632
2016,19,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.046065
2016,19,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,0.050661
