year,plan2_district,office,district,candidate,party,votes
2016,18,U S SENATE,,MICHAEL LUICK THRAMS,OTH,124.211866
2016,18,U S SENATE,,PATTY JUDGE,DEM,18987.070769
2016,18,U S SENATE,,WRITE IN,OTH,78.636900
2016,19,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,58.484638
2016,19,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,150.079770
2016,19,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,17378.779503
2016,19,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,265.277504
2016,19,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1116.602433
2016,19,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000000
2016,19,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,8973.025925
2016,19,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,119.659509
2016,19,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,47.865253
2016,19,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.000010
2016,19,PRESIDENT,,WRITE IN,OTH,361.409154
2016,19,U S SENATE,,CHARLES ALDRICH,LIB,695.981739
2016,19,U S SENATE,,CHARLES E GRASSLEY,REP,19406.765612
2016,19,U S SENATE,,JIM HENNAGER,OTH,430.406560
2016,19,U S SENATE,,MICHAEL LUICK THRAMS,OTH,54.060755
2016,19,U S SENATE,,PATTY JUDGE,DEM,7602.463149
2016,19,U S SENATE,,WRITE IN,OTH,24.409394
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,14.000001
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,115.648448
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,23535.935079
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,401.597700
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,727.508999
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.000000
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,4540.192616
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,95.478351
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,30.358427
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.000000
2016,2,PRESIDENT,,WRITE IN,OTH,247.597952
