year,vtd_id,office,district,candidate,party,votes
2018,19001001006,AUDITOR OF STATE,,FRED PERRYMAN,LIB,2.254141
2018,19001001006,AUDITOR OF STATE,,MARY MOSIMAN,REP,51.845238
2018,19001001006,AUDITOR OF STATE,,ROB SAND,DEM,47.186681
2018,19001001006,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001006,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,38.771222
2018,19001001006,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,0.601104
2018,19001001006,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,1.051932
2018,19001001006,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,64.017599
2018,19001001006,GOVERNOR,,WRITE IN,,0.000000
2018,19001001006,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,60.861802
2018,19001001006,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,3.306073
2018,19001001006,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,36.517081
2018,19001001006,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001006,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,35.465149
2018,19001001006,SECRETARY OF STATE,,JULES OFENBAKH,LIB,1.953589
2018,19001001006,SECRETARY OF STATE,,PAUL D PATE,REP,63.566770
2018,19001001006,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001006,TREASURER OF STATE,,JEREMY N DAVIS,REP,46.735853
2018,19001001006,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,53.047447
2018,19001001006,TREASURER OF STATE,,TIMOTHY HIRD,LIB,1.502761
2018,19001001006,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001007,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,55.193151
2018,19001001007,ATTORNEY GENERAL,,TOM MILLER,DEM,214.386621
2018,19001001007,ATTORNEY GENERAL,,WRITE IN,,3.649134
2018,19001001007,AUDITOR OF STATE,,FRED PERRYMAN,LIB,6.842126
2018,19001001007,AUDITOR OF STATE,,MARY MOSIMAN,REP,157.368903
2018,19001001007,AUDITOR OF STATE,,ROB SAND,DEM,143.228509
2018,19001001007,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001007,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,117.684571
2018,19001001007,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,1.824567
2018,19001001007,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,3.192992
2018,19001001007,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,194.316384
2018,19001001007,GOVERNOR,,WRITE IN,,0.000000
2018,19001001007,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,184.737407
2018,19001001007,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,10.035118
2018,19001001007,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,110.842444
2018,19001001007,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001007,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,107.649452
2018,19001001007,SECRETARY OF STATE,,JULES OFENBAKH,LIB,5.929843
2018,19001001007,SECRETARY OF STATE,,PAUL D PATE,REP,192.947959
2018,19001001007,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001007,TREASURER OF STATE,,JEREMY N DAVIS,REP,141.860083
2018,19001001007,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,161.018037
2018,19001001007,TREASURER OF STATE,,TIMOTHY HIRD,LIB,4.561417
2018,19001001007,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001008,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,14.104781
2018,19001001008,ATTORNEY GENERAL,,TOM MILLER,DEM,54.787166
2018,19001001008,ATTORNEY GENERAL,,WRITE IN,,0.932548
2018,19001001008,AUDITOR OF STATE,,FRED PERRYMAN,LIB,1.748527
2018,19001001008,AUDITOR OF STATE,,MARY MOSIMAN,REP,40.216111
2018,19001001008,AUDITOR OF STATE,,ROB SAND,DEM,36.602490
2018,19001001008,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001008,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,30.074657
2018,19001001008,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,0.466274
2018,19001001008,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,0.815979
2018,19001001008,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,49.658155
2018,19001001008,GOVERNOR,,WRITE IN,,0.000000
2018,19001001008,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,47.210218
2018,19001001008,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,2.564506
2018,19001001008,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,28.326131
2018,19001001008,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001008,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,27.510152
2018,19001001008,SECRETARY OF STATE,,JULES OFENBAKH,LIB,1.515390
2018,19001001008,SECRETARY OF STATE,,PAUL D PATE,REP,49.308450
2018,19001001008,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001008,TREASURER OF STATE,,JEREMY N DAVIS,REP,36.252784
2018,19001001008,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,41.148659
2018,19001001008,TREASURER OF STATE,,TIMOTHY HIRD,LIB,1.165684
2018,19001001008,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001009,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,13.391618
