year,plan2_district,office,district,candidate,party,votes
2012,9,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,8095.137982195845
2012,9,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,98.546735905044
2012,9,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,5.410237388724
2012,9,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,9.410237388724
2012,9,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,14.230712166172
2012,9,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,56.675074183976
2012,9,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,9379.447329376853
2012,9,PRESIDENT VICE PRESIDENT,,OVER VOTES,,27.247774480712
2012,9,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,89.170623145401
2012,9,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,39.658011869436
2012,9,PRESIDENT VICE PRESIDENT,,WRITE IN,,75.333086053412
2012,10,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,7452.213652506111
2012,10,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,111.896685063452
2012,10,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,7.589762611276
2012,10,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,8.291972083932
2012,10,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,11.471497306484
2012,10,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,47.555089501910
2012,10,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,10214.848038057791
2012,10,PRESIDENT VICE PRESIDENT,,OVER VOTES,,17.428362512719
2012,10,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,86.984491939492
2012,10,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,35.167732759470
2012,10,PRESIDENT VICE PRESIDENT,,WRITE IN,,66.829131776553
2012,11,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,8134.394967957202
2012,11,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,84.419065687435
2012,11,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,7.084684665059
2012,11,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,2.723123110039
2012,11,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,12.742154506646
2012,11,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,26.614844439218
2012,11,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,9474.618652530553
2012,11,PRESIDENT VICE PRESIDENT,,OVER VOTES,,29.671558102237
2012,11,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,130.513959223087
