year,vtd_id,office,district,candidate,party,votes
2004,19011011003,PRESIDENT,,,DEM,160.000000
2004,19011011003,PRESIDENT,,,OTH,4.000000
2004,19011011003,PRESIDENT,,,REP,133.000000
2004,19011011003,PRESIDENT,,,SC,1.000000
2004,19011011003,US SENATE,,,DEM,72.000000
2004,19011011003,US SENATE,,,OTH,3.000000
2004,19011011003,US SENATE,,,REP,218.000000
2004,19011011003,US SENATE,,,SC,0.000000
2004,19011011025,PRESIDENT,,,DEM,206.000000
2004,19011011025,PRESIDENT,,,OTH,4.000000
2004,19011011025,PRESIDENT,,,REP,275.000000
2004,19011011025,PRESIDENT,,,SC,0.000000
2004,19011011025,US SENATE,,,DEM,77.000000
2004,19011011025,US SENATE,,,OTH,7.000000
2004,19011011025,US SENATE,,,REP,395.000000
2004,19011011025,US SENATE,,,SC,0.000000
2004,19011011026,PRESIDENT,,,DEM,188.000000
2004,19011011026,PRESIDENT,,,OTH,5.000000
2004,19011011026,PRESIDENT,,,REP,162.000000
2004,19011011026,PRESIDENT,,,SC,0.000000
2004,19011011026,US SENATE,,,DEM,77.000000
2004,19011011026,US SENATE,,,OTH,10.000000
2004,19011011026,US SENATE,,,REP,261.000000
2004,19011011026,US SENATE,,,SC,0.000000
2004,19011011027,PRESIDENT,,,DEM,195.000000
2004,19011011027,PRESIDENT,,,OTH,1.000000
2004,19011011027,PRESIDENT,,,REP,276.000000
2004,19011011027,PRESIDENT,,,SC,1.000000
2004,19011011027,US SENATE,,,DEM,76.000000
2004,19011011027,US SENATE,,,OTH,8.000000
2004,19011011027,US SENATE,,,REP,375.000000
2004,19011011027,US SENATE,,,SC,0.000000
2004,19011011028,PRESIDENT,,,DEM,223.000000
2004,19011011028,PRESIDENT,,,OTH,1.000000
2004,19011011028,PRESIDENT,,,REP,242.000000
2004,19011011028,PRESIDENT,,,SC,0.000000
2004,19011011028,US SENATE,,,DEM,88.000000
2004,19011011028,US SENATE,,,OTH,4.000000
2004,19011011028,US SENATE,,,REP,365.000000
2004,19011011028,US SENATE,,,SC,0.000000
2004,19013013002,PRESIDENT,,,DEM,103.000000
2004,19013013002,PRESIDENT,,,OTH,3.000000
2004,19013013002,PRESIDENT,,,REP,138.000000
2004,19013013002,PRESIDENT,,,SC,0.000000
2004,19013013002,US SENATE,,,DEM,47.000000
2004,19013013002,US SENATE,,,OTH,2.000000
2004,19013013002,US SENATE,,,REP,193.000000
2004,19013013002,US SENATE,,,SC,0.000000
2004,19013013006,PRESIDENT,,,DEM,524.000000
2004,19013013006,PRESIDENT,,,OTH,10.000000
2004,19013013006,PRESIDENT,,,REP,423.000000
2004,19013013006,PRESIDENT,,,SC,2.000000
2004,19013013006,US SENATE,,,DEM,241.000000
2004,19013013006,US SENATE,,,OTH,32.000000
2004,19013013006,US SENATE,,,REP,678.000000
2004,19013013006,US SENATE,,,SC,1.000000
2004,19013013008,PRESIDENT,,,DEM,352.000000
2004,19013013008,PRESIDENT,,,OTH,4.000000
2004,19013013008,PRESIDENT,,,REP,376.000000
2004,19013013008,PRESIDENT,,,SC,3.000000
2004,19013013008,US SENATE,,,DEM,155.000000
2004,19013013008,US SENATE,,,OTH,22.000000
2004,19013013008,US SENATE,,,REP,553.000000
2004,19013013008,US SENATE,,,SC,0.000000
2004,19013013009,PRESIDENT,,,DEM,536.000000
2004,19013013009,PRESIDENT,,,OTH,10.000000
2004,19013013009,PRESIDENT,,,REP,579.000000
2004,19013013009,PRESIDENT,,,SC,2.000000
2004,19013013009,US SENATE,,,DEM,198.000000
2004,19013013009,US SENATE,,,OTH,18.000000
2004,19013013009,US SENATE,,,REP,898.000000
2004,19013013009,US SENATE,,,SC,1.000000
2004,19013013010,PRESIDENT,,,DEM,317.000000
2004,19013013010,PRESIDENT,,,OTH,7.000000
2004,19013013010,PRESIDENT,,,REP,302.000000
2004,19013013010,PRESIDENT,,,SC,0.000000
2004,19013013010,US SENATE,,,DEM,168.000000
2004,19013013010,US SENATE,,,OTH,12.000000
2004,19013013010,US SENATE,,,REP,435.000000
2004,19013013010,US SENATE,,,SC,0.000000
2004,19013013011,PRESIDENT,,,DEM,356.000000
2004,19013013011,PRESIDENT,,,OTH,6.000000
2004,19013013011,PRESIDENT,,,REP,525.000000
2004,19013013011,PRESIDENT,,,SC,1.000000
2004,19013013011,US SENATE,,,DEM,159.000000
2004,19013013011,US SENATE,,,OTH,12.000000
2004,19013013011,US SENATE,,,REP,708.000000
2004,19013013011,US SENATE,,,SC,0.000000
2004,19013013012,PRESIDENT,,,DEM,383.000000
2004,19013013012,PRESIDENT,,,OTH,7.000000
2004,19013013012,PRESIDENT,,,REP,679.000000
2004,19013013012,PRESIDENT,,,SC,0.000000
2004,19013013012,US SENATE,,,DEM,164.000000
2004,19013013012,US SENATE,,,OTH,6.000000
2004,19013013012,US SENATE,,,REP,889.000000
2004,19013013012,US SENATE,,,SC,0.000000
2004,19013013013,PRESIDENT,,,DEM,435.000000
2004,19013013013,PRESIDENT,,,OTH,7.000000
2004,19013013013,PRESIDENT,,,REP,671.000000
2004,19013013013,PRESIDENT,,,SC,1.000000
2004,19013013013,US SENATE,,,DEM,167.000000
2004,19013013013,US SENATE,,,OTH,16.000000
2004,19013013013,US SENATE,,,REP,919.000000
2004,19013013013,US SENATE,,,SC,0.000000
2004,19013013014,PRESIDENT,,,DEM,334.000000
2004,19013013014,PRESIDENT,,,OTH,10.000000
2004,19013013014,PRESIDENT,,,REP,314.000000
